,fromAddress,upgradeable,selfdestruct
0,0x0000000000013949f288172bd7e36837bddc7211,1.0,
1,0x0000000000075efbee23fe2de1bd0b7690883cc9,1.0,
2,0x0000000000085d4780b73119b644ae5ecd22b376,1.0,
3,0x000000000092c287eb63e8c2c30b4a74787054f8,1.0,
4,0x00000000441378008ea67f4284a57932b1c000a5,1.0,
5,0x00000000bbcf7700a1b403c9eb666f350707b900,1.0,
6,0x000000885ffb27b4e2ab5284710729b96a58cac7,1.0,
7,0x000000da8006f1db5488089803fa004c53451410,1.0,
8,0x00000100f2a2bd000715001920eb70d229700085,1.0,
9,0x0000107d120000e00095cf06b787a0a900b1f8bd,1.0,
10,0x0000109a8344de9c00465264006c0000769a2770,1.0,
11,0x00003adab5f549e25be846ba8c2517ffdf6f8f28,1.0,
12,0x00005cad001e0900002979f7314d00fc480a29bd,1.0,
13,0x00006100f7090010005f1bd7ae6122c3c2cf0090,1.0,
14,0x0000852600ceb001e08e00bc008be620d60031f2,1.0,
15,0x0008fad7b0eac3f863498a864c037dc4a6a113e1,1.0,
16,0x0025caffe0dbaf3507f607f0e1d7dbac19165fec,1.0,
17,0x00280df4d44fdcdbc21800bc23b904acc804d1b5,1.0,
18,0x00319f722bd546182cb2c701ca254146d3f084fc,1.0,
19,0x0034ea9808e620a0ef79261c51af20614b742b24,1.0,
20,0x0036192587fd788b75829fbf79be7f06e4f23b21,1.0,
21,0x006be10c718c78f5c4d4e767377ea6d9dfa8dd06,1.0,
22,0x00815e0e9d118769542ce24be95f8e21c60e5561,1.0,
23,0x00832130896b1992f6be24a4130e5e1e56d29d65,1.0,
24,0x008a71f7e69389b0febcbb4ec085215b7685e388,1.0,
25,0x00a21381a841523f87b7919467ee09dc3512b493,1.0,
26,0x00a4d48c94aa205e90f635aba5e7e8f968b2608d,1.0,
27,0x00a66189143279b6db9b77294688f47959f37642,1.0,
28,0x00bda4124db86a6c65c555c80a362db1c546a9c2,1.0,
29,0x00d243649a89654c7ac6fd7cc7c413e8816b8c51,1.0,
30,0x00f971d45e86910b37da71496cca0dba9846e585,1.0,
31,0x00fb5d9dc26a97e333779f025b02e94a71f3e75e,1.0,
32,0x01020079a22effbd4278b215554a1d2fd77881dd,1.0,
33,0x01058e49041cd62909bbf7bce6e0ca558fed3e55,1.0,
34,0x01112a60f427205dca6e229425306923c3cc2073,1.0,
35,0x0113597e29949f1f163a43445c5bb326866fa024,1.0,
36,0x01285d34fe29262a61788775df716acc7ddf897c,1.0,
37,0x0139222177a7858077baa2ad17b20f5bbd3b2f72,1.0,
38,0x015aecc30df8db407cfd3982e1628cda60c11615,1.0,
39,0x016bf078abcacb987f0589a6d3beadd4316922b0,1.0,
40,0x01925d0ffe4a6a6162b51ba611e3d4780fc2df42,1.0,
41,0x0194b5fe9ab7e0c43a08acbb771516fc057402e7,1.0,
42,0x0198b65cd2c12eae4fb7ea1996b8470b6c649e11,1.0,
43,0x019e14da4538ae1bf0bcd8608ab8595c6c6181fb,1.0,
44,0x01acb181f08a476dfa2b3edf42308c5e9c33fdae,1.0,
45,0x01bd09a1124960d9be04b638b142df9df942b04a,1.0,
46,0x01bfd82675dbcc7762c84019ca518e701c0cd07e,1.0,
47,0x01c5def3532a1ec0271c67f8c0d10f0404402dc8,1.0,
48,0x01d06f19ccd602b71b266539cf3aead0c13bddf2,1.0,
49,0x01ed6b2766fd1073b402e71a336cbaecadaae48c,1.0,
50,0x020439688aa784baa55dfedb4732e8229ac8fb1b,1.0,
51,0x0209ce3516587cc4a22b54c024b2ee724c117036,1.0,
52,0x021a4703c4c22f9ce06760b3eedcb5195d64cd9f,1.0,
53,0x021bb23a45e9fc824260435e670fc383b7b8cbbb,1.0,
54,0x022410c1d096d83396523ee44d2244e8c918c232,1.0,
55,0x02285acaafeb533e03a7306c55ec031297df9224,1.0,
56,0x022d88d3d722be1bb9ed2030f54c8ad712951b21,1.0,
57,0x0239c668f9d16ab9a01c97fbf402ca5b9e705cd3,1.0,
58,0x0242514106114deaa99fd81574142c36edb03b6d,1.0,
59,0x02706fda07c272929655ffa811920aba270a1444,1.0,
60,0x02a7f183821db6c3789ef096abf6b4f6f618ab8e,1.0,
61,0x02c708e2ee0032c40e597049e43c24236c7cf5ee,1.0,
62,0x02cd17da143d17491eaa28c16b75984ee6879feb,1.0,
63,0x02d05d7dfbe60af0b4e55856820321253f04b379,1.0,
64,0x031a8c6be9c58f89565a4dbfd0434c0e98524fdb,1.0,
65,0x031c99ec8b49c4a667db2303b3c7d223bf3c6dec,1.0,
66,0x031d0a744649fc5b7d780cfe8d356e245161bde5,1.0,
67,0x033bf3a2a301b306907eea80a79db61fcc9f6e3e,1.0,
68,0x034e9e82e49cf5d1c2307e06a27d1ccfa15ab275,1.0,
69,0x035e9c87e54b91e9546c7c74ddbf91c0c18ab45e,1.0,
70,0x0382f5ca67a15a4fd91959904e9681a8319a4c7a,1.0,
71,0x03842f35ce7b11e6846dd85723d0ba8c7ef6d827,1.0,
72,0x0387b1f2a43c8b15e55297a170125324c966d239,1.0,
73,0x038c8f9abc21bf6575f49fce9a1ed7a69301a49b,1.0,
74,0x03c41c5aff6d541ef7d4c51c8b2e32a5d4427275,1.0,
75,0x03d20ef9bdc19736f5e8baf92d02c8661a5941f7,1.0,
76,0x03d560b0cdc5528f7e73f626e254bd08b1945491,1.0,
77,0x03e051b7e42480cc9d54f1cab525d2fea2cf4d83,1.0,
78,0x03ef3f37856bd08eb47e2de7abc4ddd2c19b60f2,1.0,
79,0x03f34be1bf910116595db1b11e9d1b2ca5d59659,1.0,
80,0x040e1e4ac4e84d40acd0c9ec200141f6a235eef9,1.0,
81,0x0417912b3a7af768051765040a55bb0925d4ddcf,1.0,
82,0x0423ff0f3639ed5b07d232333ea34eb05842671f,1.0,
83,0x0428fdf0f0a7638865757cca97396cfdabd68c47,1.0,
84,0x045a197bbed4f2e1027b19d375392ed244cda6c2,1.0,
85,0x045ee2adf51f96f412810f2195b7a50612dcbe30,1.0,
86,0x0464c25c850be54033e7698c30b97a283ced6a01,1.0,
87,0x0468ec834a7275309bf8b7362305afeddc9533f7,1.0,
